ORIGIN_AIRPORT_ID,ROUNDTRIP,ONLINE,ITIN_YIELD,MILES_FLOWN,ITIN_FARE
10140,1,1,1,972,20
10140,1,1,1,3340,20
10140,1,1,3,972,20
10140,0,1,1,1932,20
10140,1,1,1,2977,20
10135,1,1,3,1940,172
10135,1,1,1,1764,172
10136,0,0,1,1260,172
10136,0,0,1,1087,172
10140,1,1,1,1069,172
10140,0,1,1,2404,172
10140,0,1,1,2142,172
10140,0,1,1,1880,172
10140,0,1,1,1947,172
10140,0,1,2,1301,172
10140,0,1,2,1203,172
10140,0,1,2,1561,172
10140,0,1,3,1688,172
10140,0,1,1,1335,172
10140,0,1,1,1040,172
10140,0,1,1,1553,172
10140,0,1,3,1016,172
10140,0,1,1,1126,172
10140,0,1,1,1548,172
10140,0,1,1,1363,172
10140,0,1,1,1550,172
10140,0,1,1,1503,172
10140,0,1,3,1472,172
10140,0,1,1,1364,172
10140,0,1,2,1326,172
10140,0,1,3,1245,172
10140,0,1,1,1029,172
10140,0,1,1,1907,172
10140,0,1,1,1258,172
10140,0,1,1,1855,172
10140,0,1,2,1455,172
10140,0,1,1,1329,172
10140,0,1,2,1687,172
10140,0,1,1,1977,172
10140,0,1,1,1330,172
10140,0,1,1,1716,172
10140,0,1,2,1036,172
10140,0,1,2,1620,172
10140,0,1,2,1061,172
10140,0,1,4,1247,172
10140,0,1,1,2073,172
10140,0,1,1,2551,172
10140,0,1,2,2662,172
10140,0,1,1,831,172
10140,0,1,1,1511,172
10140,0,1,2,1154,172
10140,0,1,1,1873,172
10140,0,1,1,1516,172
10140,0,1,1,1722,172
10140,0,1,2,1470,172
10140,0,1,2,1789,172
10140,0,1,1,1523,172
10140,0,1,1,1372,172
10140,0,1,1,1612,172
10140,0,1,1,1070,172
10140,1,1,2,656,172
10140,0,1,1,1915,172
10140,0,1,1,1063,172
10140,0,1,1,1348,172
10140,0,1,1,1816,172
10140,0,1,1,1604,172
10257,0,1,1,761,174
10257,0,1,1,1301,174
10257,0,1,1,1335,174
10257,0,0,1,1389,174
10257,0,1,2,422,174
10275,0,0,1,1167,174
10299,0,1,1,3878,174
10299,0,1,2,2505,174
10397,0,1,3,606,208
10397,0,1,1,666,208
10397,0,1,1,2182,208
10397,0,1,4,1547,208
10397,0,1,3,444,208
10140,1,1,1,656,224
10140,0,1,2,698,224
10140,0,1,1,1161,224
10140,0,1,2,653,224
10140,0,1,1,975,224
10140,1,1,1,698,224
10140,0,1,1,2052,224
10140,1,1,1,2360,224
10140,0,0,1,3019,224
10140,1,1,1,1354,224
10140,0,1,1,1814,224
10140,0,0,1,1018,224
10140,0,0,2,1710,224
10140,1,0,1,698,224
10140,1,0,1,698,224
